"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 17:16:17 IST 2024","Thu Mar 14 17:16:32 IST 2024","15537","chromium","account.spec.ts","My Account","","","Access Orders",""
"passed","Thu Mar 14 17:16:17 IST 2024","Thu Mar 14 17:16:23 IST 2024","5897","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Mar 14 17:16:22 IST 2024","Thu Mar 14 17:16:26 IST 2024","3362","chromium","home.spec.ts","Home","","","Open Home page and verify title",""
"passed","Thu Mar 14 17:16:32 IST 2024","Thu Mar 14 17:16:33 IST 2024","1148","chromium","account.spec.ts","My Account","","","Access Downloads",""
"passed","Thu Mar 14 17:16:17 IST 2024","Thu Mar 14 17:16:26 IST 2024","9709","chromium","Contact.spec.ts","Contact","","","Open Home page and verify title",""
"passed","Thu Mar 14 17:16:23 IST 2024","Thu Mar 14 17:16:27 IST 2024","4179","chromium","home.spec.ts","Home","","","Open Practice page and verify title",""
"passed","Thu Mar 14 17:16:26 IST 2024","Thu Mar 14 17:16:29 IST 2024","3695","chromium","home.spec.ts","Home","","","Click Test LoginPage link",""
"passed","Thu Mar 14 17:16:17 IST 2024","Thu Mar 14 17:16:29 IST 2024","11841","chromium","Contact.spec.ts","Contact","","","Fill contact form and verify success message",""
"passed","Thu Mar 14 17:16:27 IST 2024","Thu Mar 14 17:16:37 IST 2024","9221","chromium","upload.spec.ts","upload","","","Should Upload a text file",""
"passed","Thu Mar 14 17:16:26 IST 2024","Thu Mar 14 17:16:30 IST 2024","3630","chromium","home.spec.ts","Home","","","Verify the heading text is visible",""
"passed","Thu Mar 14 17:16:17 IST 2024","Thu Mar 14 17:16:22 IST 2024","5271","chromium","example.spec.ts","","","","has title",""
"passed","Thu Mar 14 17:16:17 IST 2024","Thu Mar 14 17:16:27 IST 2024","10690","chromium","blog.spec.ts","Blog","","","Verify the recent post count and verify the list of each item",""
"failed","Thu Mar 14 17:16:27 IST 2024","Thu Mar 14 17:16:31 IST 2024","4127","chromium","home.spec.ts","Home","","","Verify the footer link is visible",""
